Cancer_Type	N	Gene1	Gene2	Gene1_Mutated	Gene2_Mutated	Observed_CoMutation	Expected_Independence	Permutation_Expected	Null_SD	Observed_Expected_Ratio	Permutation_Z	Permutation_P	FDR	Direction
uterine corpus endometrioid carcinoma	42	CSNK1E	NR1D2	7	5	0	0.8333333333333334	0.8297	0.7918084402559789	0.0	-1.0478544529429004	0.5697430256974303	1.0	Depleted
uterine corpus endometrioid carcinoma	42	PER1	PER2	13	18	6	5.571428571428571	5.5783	1.4918752223855443	1.0755965078966712	0.2826643902066367	1.0	1.0	Enriched
uterine corpus endometrioid carcinoma	42	PER1	PER3	13	22	7	6.809523809523809	6.7843	1.5213825851826523	1.0317939949589494	0.14177893325504562	1.0	1.0	Enriched
uterine corpus endometrioid carcinoma	42	PER1	RORA	13	9	5	2.7857142857142856	2.7867	1.2415946463023158	1.7942369110417338	1.7826268876010307	0.10598940105989402	1.0	Enriched
uterine corpus endometrioid carcinoma	42	PER1	RORB	13	10	5	3.0952380952380953	3.0917	1.2970194046095045	1.6172332373774947	1.471296414855516	0.24137586241375864	1.0	Enriched
uterine corpus endometrioid carcinoma	42	PER1	RORC	13	8	2	2.4761904761904763	2.4676	1.172556066366499	0.8105041335710812	-0.39878690103833814	1.0	1.0	Depleted
uterine corpus endometrioid carcinoma	42	PER1	CLOCK	13	14	7	4.333333333333333	4.3209	1.4183526932453168	1.6200328635238028	1.8888813852568516	0.08189181081891811	1.0	Enriched
uterine corpus endometrioid carcinoma	42	PER1	NR1D1	13	5	2	1.5476190476190477	1.5404	0.9747116734114907	1.2983640612827838	0.47152405427894395	1.0	1.0	Enriched
uterine corpus endometrioid carcinoma	42	PER1	NR1D2	13	5	2	1.5476190476190477	1.5326	0.9904722830722491	1.3049719431032234	0.4718960923875807	1.0	1.0	Enriched
uterine corpus endometrioid carcinoma	42	PER2	PER3	18	22	9	9.428571428571429	9.4077	1.6308116582445893	0.9566631589017507	-0.24999821281560478	1.0	1.0	Depleted
uterine corpus endometrioid carcinoma	42	PER2	RORA	18	9	6	3.857142857142857	3.8784	1.3312365150738266	1.547029702970297	1.5937062843279521	0.14258574142585742	1.0	Enriched
uterine corpus endometrioid carcinoma	42	PER2	RORB	18	10	1	4.285714285714286	4.2836	1.3838217140418143	0.23344850126062192	-2.3728490214316587	0.026997300269973004	0.8099190080991902	Depleted
uterine corpus endometrioid carcinoma	42	PER2	RORC	18	8	4	3.4285714285714284	3.429	1.2758219986256771	1.1665208515602217	0.44755459665618297	0.7111288871112889	1.0	Enriched
uterine corpus endometrioid carcinoma	42	PER2	CLOCK	18	14	5	6.0	5.9964	1.5276846605377055	0.8338336335134413	-0.6522288439089867	0.7455254474552545	1.0	Depleted
uterine corpus endometrioid carcinoma	42	PER2	NR1D1	18	5	4	2.142857142857143	2.1257	1.0417331859948977	1.8817330761631461	1.7992131048508038	0.14078592140785923	1.0	Enriched
uterine corpus endometrioid carcinoma	42	PER2	NR1D2	18	5	2	2.142857142857143	2.1391	1.0453996728752142	0.9349726520499275	-0.13305915776444277	1.0	1.0	Depleted
uterine corpus endometrioid carcinoma	42	PER3	RORA	22	9	4	4.714285714285714	4.7049	1.3373088010938043	0.8501774745478118	-0.5271033881056135	0.716028397160284	1.0	Depleted
uterine corpus endometrioid carcinoma	42	PER3	RORB	22	10	8	5.238095238095238	5.2221	1.4019158772239801	1.5319507477834586	1.9815026315991873	0.07239276072392761	1.0	Enriched
uterine corpus endometrioid carcinoma	42	PER3	RORC	22	8	5	4.190476190476191	4.1982	1.293632137978506	1.1909866133104665	0.6198052571984897	0.7066293370662934	1.0	Enriched
uterine corpus endometrioid carcinoma	42	PER3	CLOCK	22	14	11	7.333333333333333	7.3131	1.5351560378039883	1.5041500868304822	2.401645115680905	0.022097790220977902	0.8099190080991902	Enriched
uterine corpus endometrioid carcinoma	42	PER3	NR1D1	22	5	1	2.619047619047619	2.6258	1.064841654319964	0.3808363165511463	-1.5267997766656478	0.1780821917808219	1.0	Depleted
uterine corpus endometrioid carcinoma	42	PER3	NR1D2	22	5	1	2.619047619047619	2.6252	1.0586959165427863	0.3809233582203261	-1.535096125908519	0.17378262173782622	1.0	Depleted
uterine corpus endometrioid carcinoma	42	RORA	RORB	9	10	2	2.142857142857143	2.1471	1.1495189121423524	0.9314889851427507	-0.1279665766662773	1.0	1.0	Depleted
uterine corpus endometrioid carcinoma	42	RORA	RORC	9	8	3	1.7142857142857142	1.7081	1.0440322745677137	1.756337450968913	1.237413853450955	0.32926707329267074	1.0	Enriched
